"variable_1","variable_2","fastCCLasso","SparCC","CCLasso","COAT"
"OTU_2","OTU_1",0,-0.143681398709718,0,-0.1028749345808
"OTU_3","OTU_1",0,0,0,0
"OTU_4","OTU_1",-0.0696445008505722,-0.372050572591351,-0.168759951991711,-0.369597967526781
"OTU_5","OTU_1",0,0.180397471322714,0,0.0821482271131679
"OTU_6","OTU_1",0.169344491755037,0.461875333666512,0.193280002319483,0.312704114096526
"OTU_7","OTU_1",0,-0.183009119335342,-0.12118144154586,-0.168058524380181
"OTU_8","OTU_1",0,0.214489929551278,0.135705828768634,0.110070143989227
"OTU_9","OTU_1",0.135138033702483,0.378684827454704,0.291308041742701,0.298569702112148
"OTU_10","OTU_1",0,0.227845731322292,0.0817527562043775,0.153113969985563
"OTU_11","OTU_1",0.246926435166462,0.540273571174095,0.310629488367923,0.411791097111478
"OTU_12","OTU_1",0,0,0,0
"OTU_13","OTU_1",0,-0.150141963064319,-0.0586217030057736,-0.103132465379672
"OTU_14","OTU_1",0,0,0,0
"OTU_15","OTU_1",0,0.300888239904807,0.0783390904901486,0.176336599837041
"OTU_16","OTU_1",0,0.1465849550528,0,0
"OTU_17","OTU_1",0.0575387916398983,0.295724242147735,0.134569096294128,0.171076357752355
"OTU_18","OTU_1",0.181589577919529,0.454183709180146,0.279895227321599,0.335941754035382
"OTU_19","OTU_1",0.296454137791911,0.616862506824383,0.4245038300279,0.471404392372682
"OTU_20","OTU_1",0,-0.215282181049012,-0.085942322499583,-0.183516835697786
"OTU_21","OTU_1",-0.114427504267006,-0.306045201329719,-0.295508318274326,-0.274103671111737
"OTU_22","OTU_1",0,0.143602495139756,0,0
"OTU_23","OTU_1",0,0,0,0
"OTU_24","OTU_1",0,0.0511666074580831,0,0
"OTU_25","OTU_1",0.116531347194814,0.436442924416368,0.243007264262775,0.339829726111073
"OTU_26","OTU_1",0,0.162112125690355,0,0.0616688629744088
"OTU_27","OTU_1",0,0.141934565638433,0,0
"OTU_28","OTU_1",-0.0785235239774716,-0.309078939667608,-0.249373256399516,-0.281488182281114
"OTU_29","OTU_1",0.196458834137025,0.49767131350273,0.315320418468915,0.35628017821734
